,weights1,weights2,MAP
99,"[(20, 80)]","[(75, 25)]",[0.06330742000281211]
100,"[(20, 80)]","[(80, 20)]",[0.06330742000281211]
101,"[(20, 80)]","[(85, 15)]",[0.06330742000281211]
102,"[(20, 80)]","[(90, 10)]",[0.06330742000281211]
103,"[(20, 80)]","[(95, 5)]",[0.06330742000281211]
104,"[(20, 80)]","[(100, 0)]",[0.06330742000281211]
71,"[(15, 85)]","[(40, 60)]",[0.062150102590417824]
68,"[(15, 85)]","[(25, 75)]",[0.062150102590417824]
70,"[(15, 85)]","[(35, 65)]",[0.062150102590417824]
69,"[(15, 85)]","[(30, 70)]",[0.062150102590417824]
63,"[(15, 85)]","[(0, 100)]",[0.062150102590417824]
67,"[(15, 85)]","[(20, 80)]",[0.062150102590417824]
65,"[(15, 85)]","[(10, 90)]",[0.062150102590417824]
64,"[(15, 85)]","[(5, 95)]",[0.062150102590417824]
73,"[(15, 85)]","[(50, 50)]",[0.062150102590417824]
72,"[(15, 85)]","[(45, 55)]",[0.062150102590417824]
66,"[(15, 85)]","[(15, 85)]",[0.062150102590417824]
74,"[(15, 85)]","[(55, 45)]",[0.062150102590417824]
80,"[(15, 85)]","[(85, 15)]",[0.062150102590417824]
75,"[(15, 85)]","[(60, 40)]",[0.062150102590417824]
82,"[(15, 85)]","[(95, 5)]",[0.062150102590417824]
81,"[(15, 85)]","[(90, 10)]",[0.062150102590417824]
83,"[(15, 85)]","[(100, 0)]",[0.062150102590417824]
79,"[(15, 85)]","[(80, 20)]",[0.062150102590417824]
78,"[(15, 85)]","[(75, 25)]",[0.062150102590417824]
77,"[(15, 85)]","[(70, 30)]",[0.062150102590417824]
76,"[(15, 85)]","[(65, 35)]",[0.062150102590417824]
42,"[(10, 90)]","[(0, 100)]",[0.06069192174476822]
52,"[(10, 90)]","[(50, 50)]",[0.06069192174476822]
43,"[(10, 90)]","[(5, 95)]",[0.06069192174476822]
44,"[(10, 90)]","[(10, 90)]",[0.06069192174476822]
46,"[(10, 90)]","[(20, 80)]",[0.06069192174476822]
47,"[(10, 90)]","[(25, 75)]",[0.06069192174476822]
48,"[(10, 90)]","[(30, 70)]",[0.06069192174476822]
49,"[(10, 90)]","[(35, 65)]",[0.06069192174476822]
50,"[(10, 90)]","[(40, 60)]",[0.06069192174476822]
51,"[(10, 90)]","[(45, 55)]",[0.06069192174476822]
45,"[(10, 90)]","[(15, 85)]",[0.06069192174476822]
53,"[(10, 90)]","[(55, 45)]",[0.06069192174476822]
55,"[(10, 90)]","[(65, 35)]",[0.06069192174476822]
56,"[(10, 90)]","[(70, 30)]",[0.06069192174476822]
57,"[(10, 90)]","[(75, 25)]",[0.06069192174476822]
58,"[(10, 90)]","[(80, 20)]",[0.06069192174476822]
59,"[(10, 90)]","[(85, 15)]",[0.06069192174476822]
60,"[(10, 90)]","[(90, 10)]",[0.06069192174476822]
61,"[(10, 90)]","[(95, 5)]",[0.06069192174476822]
62,"[(10, 90)]","[(100, 0)]",[0.06069192174476822]
54,"[(10, 90)]","[(60, 40)]",[0.06069192174476822]
26,"[(5, 95)]","[(25, 75)]",[0.05928654010756781]
29,"[(5, 95)]","[(40, 60)]",[0.05928654010756781]
28,"[(5, 95)]","[(35, 65)]",[0.05928654010756781]
27,"[(5, 95)]","[(30, 70)]",[0.05928654010756781]
21,"[(5, 95)]","[(0, 100)]",[0.05928654010756781]
25,"[(5, 95)]","[(20, 80)]",[0.05928654010756781]
24,"[(5, 95)]","[(15, 85)]",[0.05928654010756781]
23,"[(5, 95)]","[(10, 90)]",[0.05928654010756781]
22,"[(5, 95)]","[(5, 95)]",[0.05928654010756781]
