,topK,weights,MAP
276,[900],"[array([0.1, 0.1, 0.8])]",[0.06997758893132916]
1068,[1500],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
936,[1400],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
606,[1150],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
474,[1050],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
738,[1250],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
1002,[1450],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
540,[1100],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
804,[1300],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
870,[1350],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
672,[1200],"[array([0.1, 0.1, 0.8])]",[0.0699593048841976]
408,[1000],"[array([0.1, 0.1, 0.8])]",[0.06995837192012162]
342,[950],"[array([0.1, 0.1, 0.8])]",[0.06992975801546286]
361,[950],"[array([0.3, 0.1, 0.6])]",[0.0695242782605941]
163,[800],"[array([0.3, 0.1, 0.6])]",[0.06946932457208908]
242,[850],"[array([0.4, 0.6, 0. ])]",[0.06945982554696373]
229,[850],"[array([0.3, 0.1, 0.6])]",[0.06942925763985001]
